,SKM_old_train_01.xml,SKM_old_train_02.xml,SKM_old_train_03.xml,SKM_old_train_04.xml,SKM_old_train_05.xml,SKM_old_train_06.xml,SKM_old_train_07.xml,SKM_old_train_08.xml,SKM_old_train_09.xml,SKM_old_train_10.xml,SKM_old_train_11.xml,SKM_old_train_12.xml,SKM_old_untr_01.xml,SKM_old_untr_02.xml,SKM_old_untr_03.xml,SKM_old_untr_04.xml,SKM_old_untr_05.xml,SKM_old_untr_06.xml,SKM_old_untr_07.xml,SKM_old_untr_08.xml,SKM_old_untr_09.xml,SKM_old_untr_10.xml,SKM_old_untr_11.xml,SKM_old_untr_12.xml
ALCD2yf,2.7804906814477004e-15,0.0,0.0,0.0,0.0,85.90575888787755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALDD21,0.00024108986233301798,4.9639257028787584e-14,0.0,0.0,0.0,0.0,3.220864505868813,0.0,0.027716679954997908,0.0,0.0,5.98401081032635,0.0,0.0,0.0,21.973075002467645,0.0,2.002733106157845,0.0,0.0,-4.037174635000577e-17,0.0,-4.4328256603236965e-14,0.0
ALDD2x,2.7804906814477004e-15,0.0,13.976762227954705,0.0,0.0,0.0,0.0,0.0,-1.0042337332076082e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALDD2y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.337570728985587e-15,35.376229445893,0.0,6.648775585534604e-14,0.0,0.0,0.0,0.0
ALR2,0.00010958630106046271,0.0,0.0,8.700789304642345,0.0,0.0,0.0,-5.92306980428791e-15,0.0,0.0,0.0,0.0,17.569656463859726,0.0,0.0,0.0,0.0,0.0,42.819465146904506,0.0,3.3030005495704873,0.0,39.62750590452905,0.0
ALR3,0.00010958630106046271,0.0,0.0,8.700789304642345,0.0,0.0,0.0,-5.92306980428791e-15,0.0,0.0,0.0,0.0,17.569656463859726,0.0,0.0,0.0,0.0,0.0,42.819465146904506,0.0,3.3030005495704873,0.0,39.62750590452905,0.0
AMACR2p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0655312086049443e-16,-8.377185980257947e-19,0.1663000797299823,0.0,1.3184990922345288,0.0,0.0,0.08315003986499858,0.0,0.0,-1.3810932959508962e-13,0.0,0.0,0.0,0.0
AMPDA,0.0,9.284437851588859,0.0,3.220045835900593e-14,4.759689205044365,0.0,-1.6992627926468964e-14,34.83559663844606,3.755915819152353,3.755915819152125,1.0368067357934954e-17,14.448864285895842,0.0,0.0,0.0,0.0,0.0,0.0,-3.176538342498299e-14,-1.2167255592287022e-13,0.0,44.999396914401565,50.84266494686121,0.0
AMY1e,9.807960894470114e-05,0.0,0.0,0.0,1.4360226047273168,0.0,0.11516690188819848,1.0786020162210905,9.75804505156202e-32,3.1068258553688586,0.0,1.5957490306073656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0522118503072433,0.0,0.0,0.0,4.201512901832532
APAT2rm,0.0,0.0,0.0,31.42884811006209,0.0,-0.1785299089803627,0.0,0.0,0.0,0.0,0.0,-4.67360155275748,38.52872122461109,0.0,0.0,41.97202051790439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4970422400837632e-13
ARGDCm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.916659776488115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARGN,0.0,1.5327196820958051,0.0,0.0,0.0,20.3518771021335,0.0,16.515921126341873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.592931520940816,0.0,0.0
ARGNm,-1.0169642905566434e-13,0.0,3.287030865251467,10.890034383188999,38.96859499117362,0.0,38.29224996119518,0.0,0.0,0.0,13.592591454150746,5.736888232692667,0.0,0.0,27.06681501655757,20.3518771021335,0.0,0.0,0.0,20.3518771021335,22.635712385929185,0.0,0.0,20.351877102133535
ARGSL,0.0,1.5327196820958051,3.287030865251467,10.890034383188999,18.616717889040114,0.0,17.940372859061785,0.0,0.0,0.0,19.50925123063888,0.0,0.0,0.0,6.714937914424065,0.0,0.0,0.0,34.635225917225846,0.0,22.635712385929185,0.0,0.0,0.0
ARGSS,0.0,1.5327196820958051,3.287030865251467,10.890034383188999,18.616717889040114,0.0,17.940372859061785,0.0,0.0,0.0,19.50925123063888,0.0,0.0,0.0,6.714937914424065,0.0,0.0,0.0,34.635225917225846,0.0,22.635712385929185,0.0,0.0,0.0
R_group_phosphotase_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.560011723682358,0.0,0.0,4.930380657631324e-32,0.0
ARTPLM3,-5.451707852078188,-1.307128145145326e-13,-2.2010739034476607,0.0,-29.48750098134183,-28.453218558585036,27.722275187684392,-14.588304989891789,-15.792604668260399,-22.91049379875166,0.0,-18.411778859007768,0.0,0.0,0.0,-46.257833403891446,0.0,-90.7823340842032,-9.506479566040436,-36.54646722825999,0.0,0.0,5.255794785732349,-28.45321855858371
ARTPLM3m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.340579287869918,0.0,0.0
ASPNATm,0.0,0.0,0.0,0.0,19.355833783243803,0.17852990898036283,0.0,0.0,0.0,0.0,0.0,0.0,3.3136276938141636e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASPTA,-0.0007846368715622323,-10.817157533684654,0.0,0.0,5.786413366805146e-15,0.17852990898035825,0.0,0.0,0.0,0.0,37.796194580240595,-14.448864285895812,0.0,0.0,0.0,0.0,0.0,3.755915819152148,0.0,0.0,0.0,0.0,0.0,17.6129877098319
